courseno,classno,title,classification,instructor,credit,hour
36663,1,Image Design II,Major elective,Yoon Seok Yoo,3,3
34289,1,Spatial Design Seminar,Major elective,KIM  HYO EUN,3,3
30494,1,Fabric Screen Printing,Major elective,LEE SOOIN,3,3
35042,1,Woven Fabric & Technique,Major elective,Youn  Soonran,3,3
35054,2,Fiber Art V,Major elective,Soonran Youn,3,3
35055,1,Fiber Art VI,Major elective,LEE SOOIN,3,3
34745,1,Fashion PracticeⅠ,Major elective,Lee Young Min,3,3
35039,1,Global Fashion Project,Major elective,Joo Borim,3,3
22652,1,Fashion Merchandising,Major elective,PARK MIN JUNG,3,3
21477,1,Theories of Teaching and Learning,Major elective,Shin  Tae Seob,3,3
21527,1,Early Childhood Development and Education,Major elective,CHUNG  HOEWOOK,3,3
21528,1,Safety Education for Young Children,Major elective,CHUNG  HOEWOOK,3,3
35532,2,Theoretical Foundation of Teaching Early Childhood Education,Major requisite,Soon Hwan Kim,3,3
30710,1,Learning Instructional Theory,Major elective,Jeongmin Lee,3,3
35189,1,Future Society and Education,Major elective,Hyo Jeong So,3,3
35277,1,Instructional Methods for Students with Mild Disabilities,Major elective,Pyung Gang Jung,3,3
35282,1,Secondary Special Education,Major elective,Suk Hyang Lee,3,3
37217,1,Capston Design for Special Education (Educatoinal Agency Track),Major elective,Yu Ri Kim,3,3
21649,2,English Phonetics,Major elective,Suyeon Yun,3,3
35981,1,English Composition,Major elective,Kevin Buchanan,3,3
35981,2,English Composition,Major elective,Kevin Buchanan,3,3
35981,3,English Composition,Major elective,Kevin Buchanan,3,3
21643,1,Communication Skills in English,Major elective,YUN  UNGSOP,3,3
30639,1,Teaching Listening and Speaking in English as a Foreign Language,Major elective,CHOI  YEON HEE,3,3
30639,2,Teaching Listening and Speaking in English as a Foreign Language,Major elective,LEE  Min Jin,3,3
33900,1,Reading Practice in English,Major elective,Kevin Buchanan,3,3
33900,2,Reading Practice in English,Major elective,CHO  Hyojin,3,3
30644,1,Survey of English and American Literature II,Major elective,See Young Park,3,3
35539,2,Materials development and research in EFL,Major requisite,Josephine Lee,3,3
36945,1,Critical Thinking and Essay Writing in English Education,Major requisite,Josephine Lee,3,3
36945,2,Critical Thinking and Essay Writing in English Education,Major requisite,YUN  UNGSOP,3,3
36945,3,Critical Thinking and Essay Writing in English Education,Major requisite,OH  Hae Jin,3,3
30641,1,Advanced English Composition,Major elective,YUN  UNGSOP,3,3
30641,2,Advanced English Composition,Major elective,YUN  UNGSOP,3,3
38241,1,Introducton to Multicultural Education,Major elective,Yoonjung Choi,3,3
33923,1,Organic Chemistry and Spectroscopy,Major elective,JI HUN PARK,3,3
35551,1,Chemistry Curricular Materials and Teaching Methods,Major requisite,Aeran Choi,3,3
35450,1,Spectroscopic Chemistry and Laboratory,Major elective,,3,3
33936,1,Animal Taxonomy and Laboratory,Major elective,JUNG  JONGWOO,3,3
22023,1,General Astronomy and Laboratory Work II,Major elective,DEOKKEUN AN,3,3
22021,1,Advanced Geology and Laboratory Work Ⅱ,Major elective,Jeonghoon Lee,3,3
30771,1,Introduction to Mathematical Analysis II,Major elective,Inhyeop Yi,3,3
35554,2,Theoretical Foundations of Teaching Mathematics,Major requisite,Kim Rae Young,3,3
35464,1,Complex Analysis,Major elective,Inhyeop Yi,3,3
30822,2,Investment Management,Major elective,Hyung Suk Choi,3,3
34613,2,Organization Theory and Development,Major elective,Sang Joon Kim,3,3
35365,1,Strategic Management,Major elective,Bong Jin Kim,3,3
36780,1,Cross cultural Issues for Management,Major elective,,3,3
33861,1,Principles of Accounting Information,Major requisite,Chung Kweon Kim,3,3
33861,2,Principles of Accounting Information,Major requisite,Jongsoo Han,3,3
33861,3,Principles of Accounting Information,Major requisite,Yong Sang Woo,3,3
33861,4,Principles of Accounting Information,Major requisite,Sorah Park,3,3
22240,2,Marketing Management,Major requisite,Hyejeung Cho,3,3
22247,3,Cost/Management Accounting,Major elective,Chung Moon Jong,3,3
22250,1,Financial Management,Major requisite,Hongmin Zi,3,3
22250,3,Financial Management,Major requisite,Moon Sub Choi,3,3
30818,3,Managing Organization Behavior,Major requisite,Ji Young Ahn,3,3
30818,5,Managing Organization Behavior,Major requisite,Sang Joon Kim,3,3
30820,1,Management Information Systems,Major requisite,Hee dong Yang,3,3
30936,2,Operation Management,Major requisite,Jin Kyung Kwak,3,3
30936,3,Operation Management,Major requisite,Seung Jae Park,3,3
30936,4,Operation Management,Major requisite,Ha Na Moon,3,3
35635,1,Intermediate Accounting II,Major elective,Chung Kweon Kim,3,3
36168,1,Introduction to Electronic Commerce,Major elective,Hee dong Yang,3,3
22430,1,Nursing Management,Major requisite,Kim MiYoung,3,3
22430,2,Nursing Management,Major requisite,MiYoung Kim/ Juh Hyun Shin,3,3
37294,1,Nutrigenomics and personalized nutrition (capstone design),Major elective,Yoon Jung Park,3,3
22544,1,Pharmaceutical Biochemistry II,Major requisite,Eunsook Hwang/ Hyun Ae Woo,1.5,1.5
22544,2,Pharmaceutical Biochemistry II,Major requisite,Eunsook Hwang/ Hyun Ae Woo,1.5,1.5
22544,3,Pharmaceutical Biochemistry II,Major requisite,EUNSOOK HWANG/ Hyun Ae Woo,1.5,1.5
